id,title,git_link,project_link,repo_name,img_path,original_img_name,date,short_description,description,slug,type_id
1,Fit App,https://github.com/riccardomacchi/fit-app,https://riccardomacchi.github.io/fit-app,fit-app,uploads/fit-app-img.png,fit-app-img.png,2025-01-25,Web app per moitorare le schede di allenamento,"Fit App è una web app ottimizzata per dispositivi mobili, progettata per aiutarti a gestire le tue schede di allenamento e i tuoi esercizi in modo semplice ed efficace. L'app include una sezione profilo in cui puoi inserire e aggiornare i tuoi dati personali, personalizzando anche l’esperienza utente: puoi scegliere il colore primario dell’interfaccia e modificare lo stile delle immagini profilo in base alle tue preferenze Per rendere l'esperienza più coinvolgente, è stato implementato un sistema di gamification: completando un certo numero di sfide e challenge, potrai avanzare di livello, sbloccare nuove immagini profilo e guadagnare stelle. Un pratico fast-menu ti permette di visualizzare rapidamente il riepilogo delle tue schede di allenamento e delle challenge completate, con una progress bar che mostra i progressi verso il livello successivo. Puoi testare Fit App cliccando sul pulsante qui sotto per accedere al progetto. Da mobile, puoi aggiungerlo alla schermata home per un’esperienza a schermo intero e sfruttare al massimo tutte le funzionalità dell’app!","fit-app",1
2,Online Grocery,https://github.com/riccardomacchi/online-grocery,https://riccardomacchi.github.io/online-grocery,online-grocery,uploads/online-grocery-img.png,online-grocery-img.png,2024-11-28,Comparatore di prezzi tra supermercati,"Il backend dell’applicazione permette a un amministratore di gestire in modo centralizzato prodotti e supermercati. È possibile aggiungere, modificare o rimuovere prodotti, aggiornare i prezzi e assegnarli a categorie specifiche come surgelati, carni e altri reparti. Inoltre, l’amministratore può gestire i supermercati, personalizzandone immagini, descrizioni e dettagli, assicurando un database sempre aggiornato e accurato per il confronto dei prezzi.","online-grocery",3
3,Boolzapp,https://github.com/riccardomacchi/vue-boolzapp,https://riccardomacchi.github.io/vue-boolzapp,vue-boolzapp,uploads/boolzapp-img.png,vue-boolzapp-img.png,2024-07-02,Riproduzione del layout della nota app di messaggistica Whatsapp,"In questo progetto ho ricreato il layout di WhatsApp, implementando anche la versione responsive per garantire un'esperienza ottimale su dispositivi mobili e desktop. L'applicazione consente di inviare messaggi ai contatti, cancellarli e inviare emoticon. Sebbene l'app sia solo front-end, ogni messaggio inviato riceve una risposta automatica, scelta casualmente da una serie di risposte predefinite. Questo simula una conversazione, offrendo un'esperienza interattiva e divertente.","vue-boolzapp",1
4,Dropbox,https://github.com/riccardomacchi/htmlcss-dropbox,https://riccardomacchi.github.io/htmlcss-dropbox,htmlcss-dropbox,uploads/htmlcss-dropbox-img.png,htmlcss-dropbox-img.png,2024-05-14,Replica del sito web DropBox,"In questo progetto ho riprodotto fedelmente il layout della pagina web di Dropbox che presenta i vari piani di acquisto, utilizzando solo HTML e CSS. L'obiettivo era ricreare in modo preciso l'aspetto visivo della pagina, curando ogni dettaglio del design, dalla disposizione delle sezioni ai colori, font e immagini. Mi sono concentrato sul mantenimento della struttura e della formattazione esatte, offrendo un’esperienza visiva simile all’originale, con particolare attenzione alla chiarezza e alla navigabilità della pagina.","htmlcss-dropbox",1
5,Spesa Front,https://github.com/riccardomacchi/spesa-front,https://riccardomacchi.github.io/spesa-front,spesa-front,uploads/spesa-front-img.png,spesa-front-img.png,2024-11-27,Frontend per applicazione di spesa,"Questa applicazione permette agli utenti di creare una lista della spesa personalizzata selezionando i prodotti desiderati. Il sistema calcola automaticamente il costo totale in diversi supermercati, aiutando così l’utente a scegliere l’opzione più conveniente e risparmiare sugli acquisti. Inoltre, offre la possibilità di creare un profilo personale per salvare e gestire le liste della spesa passate, rendendo la pianificazione degli acquisti ancora più semplice ed efficiente.","spesa-front",1
6,Laravel DC Comics,https://github.com/riccardomacchi/laravel-dc-comics,https://riccardomacchi.github.io/laravel-dc-comics,laravel-dc-comics,uploads/laravel-dc-comics-img.png,laravel-dc-comics-img.png,2024-09-18,Riproduzione bacheca DC-Comics con interazione al database,"Questo progetto consiste nella realizzazione di un gestionale per la gestione dei fumetti DC Comics, sviluppato con Laravel. L’applicazione permette all’amministratore di interagire con il database, offrendo la possibilità di aggiungere, modificare o rimuovere fumetti in modo semplice ed efficiente. Grazie alla potenza di Laravel, il sistema garantisce un’architettura scalabile, sicura e ottimizzata per la gestione dei dati.","laravel-dc-comics",3
7,Kart Crash,https://github.com/riccardomacchi/kart-crash,https://riccardomacchi.github.io/kart-crash,kart-crash,uploads/kart-crash-img.png,kart-crash-img.png,2024-08-01,Minigioco in stile retrogames,"Kart Crash è un gioco dinamico e adrenalinico in cui il giocatore deve spostarsi lateralmente per schivare gli ostacoli che scorrono dall’alto. Raccogliendo cinque monete, si attiva una fase bonus in cui una cascata di monete riempie lo schermo, offrendo l’opportunità di accumulare punti extra. La velocità del gioco aumenta progressivamente, ma può essere regolata dal giocatore con le frecce avanti e indietro, per accelerare o decelerare. Il gioco termina quando il kart collide con un ostacolo, mettendo alla prova i riflessi e la strategia del giocatore.","kart-crash",1
8,Boolflix,https://github.com/riccardomacchi/vite-boolflix,https://riccardomacchi.github.io/vite-boolflix,vite-boolflix,uploads/boolflix-img.png,vite-boolflix-img.png,2024-07-15,Riproduzione semplificata della piattaforma streaming Netflix,"In questo progetto ho sviluppato una piattaforma di streaming ispirata a Netflix, utilizzando le API per estrarre i dati necessari alla creazione del layout e alla gestione dei contenuti. Gli utenti possono navigare facilmente tra film e serie TV, con la possibilità di creare una lista personalizzata dove salvare i loro titoli preferiti.","vite-boolflix",1
9,Slider,https://github.com/riccardomacchi/vue-slider,https://riccardomacchi.github.io/vue-slider,vue-slider,uploads/vue-slider-img.png,vue-slider-img.png,2024-06-26,Carosello di immagini,"In questo progetto ho creato un carosello di immagini utilizzando Vue.js. L’applicazione offre la possibilità di navigare tra le immagini grazie ai pulsanti 'precedente' e 'successivo', oltre a una funzionalità di autoplay che cambia automaticamente le immagini a intervalli regolari. Il carosello è progettato per essere semplice, reattivo e facilmente integrabile in qualsiasi applicazione web.","vue-slider",1
10,Social Posts,https://github.com/riccardomacchi/js-social-posts,https://riccardomacchi.github.io/js-social-posts,js-social-posts,uploads/js-social-posts-img.png,js-social-posts-img.png,2024-06-21,Simulazione di post sui social media,"In questo progetto ho creato una simulazione di post sui social media utilizzando solo HTML, CSS e JavaScript. L'applicazione permette agli utenti di interagire con i post, aggiungendo e rimuovendo i 'like'. Questo progetto è pensato per simulare il comportamento di un social network, con un’interfaccia semplice e dinamica.","js-social-posts",1
11,Our Team,https://github.com/riccardomacchi/js-our-team,https://riccardomacchi.github.io/js-our-team,js-our-team,uploads/js-our-team-img.png,js-our-team-img.png,2024-06-18,Progetto di visualizzazione membri del team con JavaScript,"Questo progetto, realizzato all'inizio del mio corso, consiste nel prendere una lista di oggetti e stamparne i nomi e le immagini direttamente in una pagina web. Utilizzando HTML, CSS e JavaScript, ho imparato a manipolare dinamicamente i dati per visualizzare le informazioni in modo semplice ed efficace, creando una presentazione visiva di oggetti con i loro dettagli.","js-our-team",1
12,Campominato DOM,https://github.com/riccardomacchi/js-campominato-dom,https://riccardomacchi.github.io/js-campominato-dom,js-campominato-dom,uploads/js-campominato-dom-img.png,js-campominato-dom-img.png,2024-06-17,Gioco del campo minato,"In questo progetto ho creato una versione interattiva di Campo Minato. L’utente può scegliere tra tre livelli di difficoltà, che determinano il numero di celle da cliccare nella griglia generata. Le bombe vengono distribuite casualmente nelle celle, e l’obiettivo è evitare di cliccarle. Se l’utente clicca su una bomba, il gioco termina e viene mostrato il punteggio ottenuto.","js-campominato-dom",1
13,Dashboard,https://github.com/riccardomacchi/html-css-bootstrap-dashboard,https://riccardomacchi.github.io/html-css-bootstrap-dashboard,html-css-bootstrap-dashboard,uploads/html-css-bootstrap-dashboard-img.png,html-css-bootstrap-dashboard-img.png,2024-05-30,Dashboard amministrativa imparando ad usare bootstrap,"Ho approcciato la libreria Bootstrap e, per migliorare le mie competenze, ho realizzato il layout di una dashboard amministrativa. Utilizzando il grid system e i componenti di Bootstrap, ho creato un'interfaccia intuitiva e responsiva, pensata per la gestione di dati e attività amministrative. Questo progetto mi ha permesso di acquisire maggiore familiarità con Bootstrap, perfezionando le mie capacità nella creazione di layout dinamici e ben strutturati.","html-css-bootstrap-dashboard",1
14,SpotifyWeb,https://github.com/riccardomacchi/html-css-spotifyweb,https://riccardomacchi.github.io/html-css-spotifyweb,html-css-spotifyweb,uploads/html-css-spotifyweb-img.png,html-css-spotifyweb-img.png,2024-05-22,Riproduzione del layout della web app Spotify,"In questo progetto ho riprodotto il layout della web app di Spotify utilizzando esclusivamente HTML e CSS, concentrandomi sia sulla struttura visiva che sugli effetti interattivi. Ho creato una versione statica dell'interfaccia, con particolare attenzione agli effetti hover: icone che cambiano colore, pulsanti che si animano al passaggio del mouse e transizioni fluide che migliorano l'esperienza utente. Questo progetto mi ha permesso di approfondire l'uso di CSS per costruire layout complessi e dinamici, rendendo l'interfaccia più coinvolgente e interattiva.","html-css-spotifyweb",1
15,Boolando,https://github.com/riccardomacchi/html-css-boolando,https://riccardomacchi.github.io/html-css-boolando,html-css-boolando,uploads/html-css-boolando-img.png,html-css-boolando-img.png,2024-05-06,Semplice layout in stile Zalando,"In questo progetto ho realizzato una versione semplificata del layout di un e-commerce ispirato a Zalando, utilizzando solo HTML e CSS. Ho riprodotto in modo essenziale la struttura del sito, concentrandomi sulla disposizione delle categorie di prodotto e delle immagini. Per rendere l'interfaccia più interattiva, ho implementato semplici effetti hover sulle immagini, che aggiungono un tocco dinamico al design, migliorando l'esperienza utente.","html-css-boolando",1
